id,Nom,Prenom,DateNaissance,LieuNaissance,NumCIN,Adresse,Profession,Email,Image,NumeroTel,IdArrondissement_id
1,Collin,Patricia,1991-09-18,Manakara,b'gAAAAABoWO5Gh210QZ1tfjb8qS1yjpOcDjpyEZeGvKNyCjxdgq8yMRHDXdaDNTcp871_1Okqf2SRiy4_Ghmtg-4lTx8JhL-Gnw==',"576, chemin Isabelle Carpentier, 64242 Joly",électromécanicien,CollinPatricia1@gmail.com,https://randomuser.me/api/portraits/women/40.jpg,+261 33 6280272,2
2,Gauthier,Laure,1968-07-26,Morondava,b'gAAAAABoWO5GzuMpsKrrxUJCfqpBCbLasn05Sf2rZUjE2C4tCogQqokzJu_gnyy26caRRHIcM9IOPFH5tJ64hbGnH0JH5fzc0w==',"2, chemin de Georges, 71203 Gay",formateur d'adultes,GauthierLaure20@gmail.com,https://randomuser.me/api/portraits/men/88.jpg,+261 34 8553436,1
3,Bourdon,Lucie,1962-04-21,Manakara,b'gAAAAABoWO5GrsiSkpib3QGF40A9TmgJsXSlke62qJ2gxXAPGBWDe7lYV1b6jZsZvaCVR2_M09mJnKMAu8cZy-REkz7fYstlcg==',"940, rue Fouquet, 51827 Sainte Valérie",greffier,BourdonLucie69@gmail.com,https://randomuser.me/api/portraits/women/3.jpg,+261 33 7820068,6
4,Berger,Nathalie,1978-09-25,Toliara,b'gAAAAABoWO5GRRYu_vzPZcOyEUe_zoOVGwrseT7MfueI7Dj6jZCWHr5s2clGcE06-XvvfHGvk_JYoFz4YcostsKG1Z6gVZ3WSw==',"333, avenue de Robin, 11427 CamusBourg",ethnologue,BergerNathalie52@gmail.com,https://randomuser.me/api/portraits/women/55.jpg,+261 32 1785382,4
5,Courtois,Stéphane,1951-06-18,Mahajanga,b'gAAAAABoWO5Gr7Cb5BiSmae9yyumYVHWUKVyyqqU3jcJRix-mkniAifxmTAxX4crxBGyftqSS0qYZ1TNJ1cBvlXB46AVo14Ueg==',"99, chemin de Hebert, 12710 Prévost-sur-Mer",enquêteur privé privée,CourtoisStéphane5@gmail.com,https://randomuser.me/api/portraits/women/99.jpg,+261 33 1156036,2
6,Gonzalez,Laurent,1959-11-21,Antananarivo,b'gAAAAABoWO5GszDggX6ABFu1OmSgQWRkT82fHiBTbZM2wZKRG6MvykTGnNIxlnM6x_ngIkaI61WLZONKHjtG91XojFLAU6OCcQ==',"27, rue Gérard, 05962 Sainte Virginie-la-Forêt",océanologue,GonzalezLaurent108@gmail.com,https://randomuser.me/api/portraits/women/66.jpg,+261 34 2537146,3
7,Huet,Claude,1963-10-06,Toliara,b'gAAAAABoWO5GQa93Wfl-IMbiwshB-payxY1jfzfr1CuCPPdt--yRwt_pLkIXA6YDhY4WVsF0tszTniB4noJDbVYuUqTxreyCkQ==',"87, chemin de Perez, 41727 Sainte Jacquelineboeuf",concepteur multimédia,HuetClaude49@gmail.com,https://randomuser.me/api/portraits/women/8.jpg,+261 33 4900188,2
8,Berger,Alfred,1971-05-13,Antsirabe,b'gAAAAABoWO5G3x1rLhUFhpEMtq5PefYGFmws7DSotkUduwKm4hPluUqCBGvRN9-GOoPbIvdD8EUdi-f-uzel74rK52ccufHBog==',"35, avenue Sylvie Bonnet, 13901 Rocher",conservateur du patrimoine,BergerAlfred136@gmail.com,https://randomuser.me/api/portraits/men/33.jpg,+261 33 5528126,2
9,Lambert,Thérèse,2007-03-07,Toamasina,b'gAAAAABoWO5GexOXjblPH-MbBP62_nY6XJCllfnHLZvaAmKwVpGB0DR9n8uUtiuW7G1EfENMF-EOFsn0WVkHBJgryRErk27EGQ==',"rue Seguin, 73222 Robinboeuf",chargé d'affaires en génie climatique,LambertThérèse198@gmail.com,https://randomuser.me/api/portraits/women/46.jpg,+261 32 5521047,3
10,Da Silva,Julie,1937-06-02,Toamasina,b'gAAAAABoWO5GwwFdMhaEQCFRMZ4A0SW1Op4UkN5H7MjB5yLtMETeze7irTRKKfkrBGlkpnB9R5upDBjSux76LRRI_2n2PJ8cOw==',"8, rue Potier, 03657 LegendreBourg",diagnostiqueur immobilier,Da SilvaJulie150@gmail.com,https://randomuser.me/api/portraits/women/17.jpg,+261 34 4754402,4
